Name,num_ratings,positive_rating,price,wine_type,country,world,grape,region,rating_score
Chateau D'Arsac Margaux,0,0,28,red wine,,,,,
Chateau Musar 2001,0,0,33,fine wine,,,,,
Chateau Tour Haut Caussan,3,2,14.99,red wine,,,,,0.6666666666666666
Chateau Vieux Maillet Pomerol 2007,0,0,32,fine wine,french,old world,,bordeaux,
Chateau de Chassagne Montrachet 2014,0,0,39.99,fine wine,,,,,
Chateau de Fesles Anjou Blanc 2015,0,0,13.99,white wine,french,old world,,,
Chianti Classico Riserva 2013 Villa Antinori,4,3,25,fine wine,italian,old world,,,0.75
Chianti Poggio Galiga 2015 Grati,69,55,9.99,red wine,italian,old world,,,0.7971014492753623
Chronic Cellars Eunice X 2015,4,3,17.99,white wine,,,,,0.75
Chronic Cellars Purple Paradise 2015 Paso Robles,85,76,17.99,red wine,,,,,0.8941176470588236
"Château Cantemerle 2005 Haut-Médoc, 5ème Cru Classé",0,0,65,fine wine,french,old world,merlot,bordeaux,
Château Chantalouette 2014  Pomerol,12,8,22.99,red wine,french,old world,,bordeaux,0.6666666666666666
Château Coufran 2006 Haut-Médoc Cru Bourgeois Supérieur,30,22,18.99,red wine,french,old world,,bordeaux,0.7333333333333333
Château D'Yquem 1990 Sauternes,0,0,450,fine wine,french,old world,sauvignon blanc,bordeaux,
Château Doisy Daene 2005,0,0,35,fine wine,,,,,
"Château Grand Puy Lacoste 2000 Pauillac, 5ème Cru Classé",0,0,175,fine wine,french,old world,merlot,bordeaux,
"Château Guiot Rosé 2015 Costières de Nîmes, France",37,30,8.99,rose wine,french,old world,,,0.8108108108108109
Château Herve Laroque 2014 Fronsac,23,20,14.99,red wine,french,old world,,bordeaux,0.8695652173913043
"Château La Rame 2015 Ste-Croix-du-Mont, 50cl",10,10,14.99,white wine,french,old world,sauvignon blanc,bordeaux,1
Château Montviel Pomerol 2002,0,0,35,fine wine,french,old world,,bordeaux,
Château Moulin de Curat 2014,2,0,12.99,red wine,,,,,0
Château Musar 1998 Gaston Hochar,0,0,37,fine wine,,,,,
Château Musar 2000 Gaston Hochar,0,0,33,fine wine,,,,,
Château Musar 2006 Gaston Hochar,55,50,27.99,red wine,,,,,0.9090909090909091
Château Musar 2006 Gaston Hochar Magnum,3,3,54.99,red wine,,,,,1
Château Musar White 2007 Gaston Hochar,18,10,22,fine wine,,,,,0.5555555555555556
Château Méaume 2013 Bordeaux Supérieur,119,95,11.99,red wine,french,old world,merlot,bordeaux,0.7983193277310925
"Château Pierbone 2006, Médoc",21,17,11.99,red wine,french,old world,,bordeaux,0.8095238095238095
Château Pierrousselle 2015,6,4,8.99,red wine,french,old world,,,0.6666666666666666
Château Pigoudet ?La Chapelle? Rosé 2016 Coteaux d?Aix-en-Provence,35,33,12.99,rose wine,french,old world,,,0.9428571428571428
Château Recougne 2015 Bordeaux Supérieur,107,89,9.99,red wine,french,old world,merlot,bordeaux,0.8317757009345794
Château Tour Massac Margaux  2010,0,0,35,red wine,french,old world,,bordeaux,
Château Tronquoy-Lalande St Estephe 2013,2,2,29.99,fine wine,french,old world,,bordeaux,1
Château de Berne Rosé 2016 Côtes de Provence,76,64,15.99,rose wine,french,old world,,,0.8421052631578947
Château de Pennautier 2015 Cabardès,46,38,11.99,red wine,french,old world,merlot,south of france,0.8260869565217391
Château de Tracy 2016 Pouilly-Fumé,8,8,25,fine wine,french,old world,,,1
Château des Maures 2015 Lalande de Pomerol,9,5,15.99,red wine,french,old world,,bordeaux,0.5555555555555556
Château d?Yquem 1988 Sauternes,2,2,480,fine wine,french,old world,sauvignon blanc,bordeaux,1
Châteauneuf du Pape Prestige De Princes 2015,7,6,21.99,red wine,french,old world,,,0.8571428571428571
Châteauneuf-du-Pape 2012 Clos de L'Oratoire,3,3,61.99,red wine,french,old world,,,1
Châteauneuf-du-Pape Vignoble Abeille 2014 Mont Redon,13,13,28,fine wine,french,old world,,,1
Cillar De Silos Amalio 2014,0,0,50,fine wine,,,,,
Cillar de Silos Crianza 2014 Ribera del Duero,36,30,19.99,red wine,spanish,old world,tempranillo,,0.8333333333333334
Clos du Bois Chardonnay 2015 North Coast,18,16,16.99,white wine,,,chardonnay,california,0.8888888888888888
Cloudy Bay Pelorus NV,52,45,24.99,white wine,new-zealand,new world,,,0.8653846153846154
Cloudy Bay Pelorus Rosé NV New Zealand,11,10,24.99,white wine,new-zealand,new world,chardonnay,,0.9090909090909091
Cloudy Bay Sauvignon Blanc 2017 Marlborough,76,71,25.99,white wine,new-zealand,new world,,marlborough wine,0.9342105263157895
Commanderie de Peyrassol Rosé 2016 Côtes de Provence,19,16,13.99,rose wine,french,old world,,,0.8421052631578947
Conde de San Cristobal 2014 Ribera del Duero,13,11,16.99,red wine,spanish,old world,tempranillo,,0.8461538461538461
Contesa Pecorino 2016 IGT Colline Pescaresi,62,57,9.99,white wine,italian,old world,,,0.9193548387096774
Copertino 2013 Masseria Monaci,55,47,9.99,red wine,italian,old world,,,0.8545454545454545
Corolla Nero d'Avola 2016 Sicily,86,76,8.99,red wine,italian,old world,,,0.8837209302325582
"Cortese 2017 Araldica, Piemonte",10,9,8.99,white wine,italian,old world,,,0.9
"Craggy Range Te Kahu 2013 Gimblett Gravels, Hawke's Bay",12,11,17.99,red wine,new-zealand,new world,merlot,,0.9166666666666666
"Cuvée Diane 2012 Viñalba, Mendoza",9,8,40,fine wine,argentinian,new world,,,0.8888888888888888
Cuvée Sainte Geneviève Rouge nv Vin de France,23,14,6.99,red wine,french,old world,,south of france,0.6086956521739131
Côte de Beaune-Villages 2014 Louis Jadot,18,13,21.49,red wine,french,old world,pinot noir,burgundy,0.7222222222222222
Côte de Nuits-Villages 2014 Nicolas Potel,20,16,19.99,red wine,french,old world,pinot noir,,0.8
Côtes du Rhône 2014 E. Guigal,196,183,12.99,red wine,french,old world,,,0.9336734693877551
Côtes du Rhône 2015 Vidal-Fleury,54,49,11.99,red wine,french,old world,,,0.9074074074074074
Côtes du Rhône Belleruche 2016 M.Chapoutier,155,140,11.99,red wine,french,old world,,,0.9032258064516129
Côtes-Du-Rhône 2016 Les Fustiers,57,44,8.99,red wine,french,old world,,,0.7719298245614035
Côtes-du-Rhône Blanc 2016 Léon Perdigal,22,20,9.99,white wine,french,old world,,,0.9090909090909091
Côté Mas Rouge 2016 PGI Pays d'Oc,40,34,7.99,red wine,french,old world,merlot,south of france,0.85
"Days of Summer 2016 Miguel Torres, Itata Valley",23,20,8.99,white wine,chilean,new world,,,0.8695652173913043
"Decoy Zinfandel 2015 Duckhorn, Sonoma County",13,11,25,red wine,,,,california,0.8461538461538461
Definition Albarino 2016,21,21,11.99,white wine,spanish,old world,,,1
Definition Beaujolais Villages 2016,33,29,11.99,red wine,french,old world,,,0.8787878787878788
Definition Chardonnay 2016,55,51,11.99,white wine,french,old world,,south of france,0.9272727272727272
Definition Chenin Blanc 2017,18,17,12.99,white wine,south-african,new world,,,0.9444444444444444
Definition Chianti Classico 2013,40,32,12.99,red wine,italian,old world,,,0.8
Definition Claret 2012,43,30,13.99,red wine,french,old world,merlot,bordeaux,0.6976744186046512
